Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
2;REUNIDAS;6443;7.046;3.694;14.741;3.335;5;4.875;2.019;3.567;15.254;824;976
2;REUNIDAS;7847;16.900;9.994;30.737;6.860;79;10.161;4.391;8.012;32.067;1.528;2.377
2;REUNIDAS;9018;31;35;205;361;0;435;21;22;266;25;83
2;SANTA MARIA - URB;24;16.179;9.389;29.889;10.711;0;10.106;5.430;8.559;29.666;434;3.026
2;SANTA MARIA - URB;34;5.281;2.891;8.825;2.866;0;7.297;3.846;2.219;12.186;0;1.366
2;SANTA MARIA - URB;36;7.158;4.537;13.043;4.564;0;6.865;3.237;2.715;16.251;754;1.821
2;SANTA MARIA - URB;37;21.269;15.974;27.257;11.033;0;10.643;5.678;7.407;33.977;721;3.136
2;SANTA MARIA - URB;38;24.743;15.317;41.621;11.574;0;26.731;12.265;9.656;63.700;2.795;3.801
2;SANTA MARIA - URB;39;15.679;8.906;29.641;9.224;0;7.857;3.522;6.339;22.619;627;2.918
2;SANTA MARIA - URB;44;12.620;9.259;22.099;6.359;0;10.789;5.857;5.582;27.461;425;2.900
2;SANTA MARIA - URB;46;19.357;15.295;25.673;11.619;0;6.147;4.552;6.519;35.070;1.272;2.514
2;SANTA MARIA - URB;48;11.148;7.816;13.451;5.642;0;7.046;3.825;3.010;18.688;730;1.917
2;SANTA MARIA - URB;54;20.065;16.174;31.430;11.575;0;9.769;6.597;6.575;41.701;1.977;3.077
2;SANTA MARIA - URB;56;5.489;3.986;23.971;10.650;0;2.944;1.699;3.549;19.590;950;2.211
2;SANTA MARIA - URB;66;7.483;5.794;13.471;1.938;0;3.053;1.758;2.968;17.301;1.121;1.933
2;SANTA MARIA - URB;83;5.521;4.433;14.629;1.260;0;3.705;1.261;2.626;17.153;1.167;1.302
2;SANTA MARIA - URB;331;8.645;4.357;13.860;3.037;0;3.838;1.474;3.981;13.320;0;1.147
2;SANTA MARIA - URB;332;2.165;1.151;3.848;825;0;868;414;1.003;2.840;0;530
2;SANTA MARIA - URB;411;3.969;2.199;6.584;2.783;0;2.880;878;1.725;7.243;227;635
